Entity,Year,Annual CO₂ emissions (per capita)
World,1750,0.0123539
World,1760,0.013338744
World,1770,0.015818821
World,1780,0.01762452
World,1790,0.021648014
World,1800,0.034347694
World,1810,0.038381834
World,1820,0.047608815
World,1830,0.07750224
World,1840,0.09820878
World,1850,0.15294671
World,1860,0.24686126
World,1870,0.39808285
World,1880,0.6009976
World,1890,0.84383
World,1900,1.1740984
World,1910,1.6905305
World,1920,1.8351136
World,1930,1.8790754
World,1940,2.0978088
World,1950,2.3786693
World,1951,2.5154166
World,1952,2.5028036
World,1953,2.5249114
World,1954,2.527846
World,1955,2.7165384
World,1956,2.835367
World,1957,2.86952
World,1958,2.8912625
World,1959,2.9854476
World,1960,3.1129503
World,1961,3.0719225
World,1962,3.1207554
World,1963,3.2155936
World,1964,3.315824
World,1965,3.3919585
World,1966,3.4848719
World,1967,3.5231543
World,1968,3.6402261
World,1969,3.802132
World,1970,4.032584
World,1971,4.112594
World,1972,4.2197514
World,1973,4.3575473
World,1974,4.256582
World,1975,4.1891084
World,1976,4.340744
World,1977,4.385783
World,1978,4.442884
World,1979,4.4886904
World,1980,4.3818007
World,1981,4.20045
World,1982,4.0911407
World,1983,4.043131
World,1984,4.1085486
World,1985,4.1717267
World,1986,4.157858
World,1987,4.208147
World,1988,4.295053
World,1989,4.2768035
World,1990,4.266109
World,1991,4.278877
World,1992,4.091575
World,1993,4.069678
World,1994,4.051227
World,1995,4.0862265
World,1996,4.152334
World,1997,4.118613
World,1998,4.0458646
World,1999,4.081738
World,2000,4.1334705
World,2001,4.1097608
World,2002,4.146101
World,2003,4.3096466
World,2004,4.4027133
World,2005,4.4959054
World,2006,4.5909643
World,2007,4.666746
World,2008,4.6861563
World,2009,4.549688
World,2010,4.750381
World,2011,4.852329
World,2012,4.8603024
World,2013,4.8412857
World,2014,4.802484
World,2015,4.7392993
World,2016,4.685639
World,2017,4.707258
World,2018,4.751732
World,2019,4.7500806
World,2020,4.453724
World,2021,4.650446
World,2022,4.649288
World,2023,4.6703916
